image,method,dx_g,dy_g,dx_r,dy_r,time_sec,out_path
church,single-ssd,4,15,-15,15,9.41533088684082,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/church_single-ssd.jpg
church,pyramid-ssd,4,25,-4,58,11.897855043411255,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/church_pyramid-ssd.jpg
church,pyramid-ncc,4,25,-4,58,26.73985195159912,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/church_pyramid-ncc.jpg
church,phase,3,25,-4,58,1.8231041431427002,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/church_phase.jpg
emir,single-ssd,15,15,15,15,9.445770978927612,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/emir_single-ssd.jpg
emir,pyramid-ssd,24,49,40,107,15.374112844467163,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/emir_pyramid-ssd.jpg
emir,pyramid-ncc,24,49,40,107,27.188074827194214,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/emir_pyramid-ncc.jpg
emir,phase,24,49,41,106,2.595716953277588,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/emir_phase.jpg
harvesters,single-ssd,15,15,-15,15,9.441930055618286,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/harvesters_single-ssd.jpg
harvesters,pyramid-ssd,17,60,14,124,15.251276969909668,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/harvesters_pyramid-ssd.jpg
harvesters,pyramid-ncc,17,60,14,124,27.31189727783203,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large/harvesters_pyramid-ncc.jpg
