image,method,dx_g,dy_g,dx_r,dy_r,time_sec,out_path
castle,single-ssd,15,15,15,15,9.94318699836731,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/castle_single-ssd.jpg
castle,pyramid-ssd,25,64,37,141,16.132002115249634,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/castle_pyramid-ssd.jpg
castle,pyramid-ncc,25,64,37,141,31.721882820129395,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/castle_pyramid-ncc.jpg
castle,phase,25,65,37,140,0.93408203125,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/castle_phase.jpg
dagestan,single-ssd,4,8,7,15,9.68336796760559,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/dagestan_single-ssd.jpg
dagestan,pyramid-ssd,4,8,5,89,16.306706190109253,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/dagestan_pyramid-ssd.jpg
dagestan,pyramid-ncc,4,8,5,89,32.27638816833496,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/dagestan_pyramid-ncc.jpg
dagestan,phase,3,8,5,88,2.6149890422821045,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/dagestan_phase.jpg
factory,single-ssd,11,15,1,15,9.988224983215332,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/factory_single-ssd.jpg
factory,pyramid-ssd,9,61,-5,136,16.385788917541504,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/factory_pyramid-ssd.jpg
factory,pyramid-ncc,9,61,-5,136,31.864317893981934,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/factory_pyramid-ncc.jpg
factory,phase,13,67,-5,134,3.13045597076416,/Users/paulcratzius/uni/berkeley/cs180/paulcratzius.github.io/projects/project1/outputs/rgb_large_extra/factory_phase.jpg
